,hr0,hr0.25,hr0.5,hr1,hr2,hr4,hr8,hr12,hr24
AT1G31310,0.844251915,0.803525751,1.784984578,0.230485551,-0.497359716,-1.361894993,-0.878780178,-0.686104569,-0.239108339
AT1G31350,-1.491063378,1.108977065,-0.435291437,1.64736529,-0.286955076,0.04564451,0.779569321,-0.771886784,-0.596359512
AT1G32240,-0.901634043,-0.754019473,0.139288713,-0.109913908,-0.036389841,1.509324502,-0.7863902,1.744167683,-0.804433433
AT1G32540,-0.834062585,-0.777351757,-0.811375737,-0.757633426,0.585977417,-0.054726369,2.241878293,0.282380176,0.124913988
AT1G32640,-1.904297488,-0.151540435,0.405060047,-0.217999525,0.87239973,-0.58728542,1.737733709,-0.049500198,-0.104570422
AT1G32690,-0.543726896,0.831858073,-0.812219254,2.358937067,-0.250321279,-0.371116855,-0.467268006,-0.159768149,-0.586374701
AT1G32970,-0.875887093,1.386010111,0.477128619,-0.613434693,0.223022178,-0.854893043,1.699494442,-0.728006446,-0.713434076
AT1G33240,1.425724341,-0.631845644,0.729513756,0.229315544,-0.31669047,0.156271164,-1.930277568,0.90230951,-0.564320632
AT1G33600,-1.816257974,0.499838533,-0.842652774,-0.126793663,1.136273779,-0.349948388,1.516088525,-0.088849363,0.072301325
AT1G34180,-0.283494753,0.472374473,-0.052443782,-0.80935966,0.655752866,-1.319493443,2.11828457,-0.584472553,-0.197147718
AT1G34520,1.849894793,1.021444642,-0.276400668,0.943033594,-0.541264439,-0.685896192,-0.899583052,-0.719339742,-0.691888936
AT1G35210,-0.595128332,0.324224962,2.54308157,-0.379868724,-0.468229163,-0.520687135,0.02940515,-0.504225466,-0.428572861
AT1G35560,-1.124472863,-0.527309059,-0.844021108,0.109063422,-0.022317963,0.182506068,2.204844382,0.658101028,-0.636393908
AT1G42550,-1.233680402,0.246389378,0.299882002,1.795584141,-0.727593801,0.507582373,0.865333669,-0.754147993,-0.999349368
AT1G43160,-0.887796155,0.11256104,-1.14785816,2.110051705,-0.33973335,0.965461618,-0.060765746,-0.157635575,-0.594285379
AT1G43700,-0.051717358,-0.3450907,-0.031392797,-0.746804457,0.775928268,-1.148996205,2.138895085,-0.864564217,0.27374238
AT1G44020,-0.573138806,-0.044803143,-0.627821807,2.615749026,-0.455410497,-0.245374135,-0.164783954,-0.177300519,-0.327116166
AT1G44050,-0.390240641,-0.030422986,-0.587645368,2.63918575,-0.325410843,-0.306763206,-0.381410263,-0.299603777,-0.317688666
AT1G44446,-0.904879334,-0.411157629,-0.668624107,0.468418427,-0.169216907,2.306372153,0.472013644,-0.248435326,-0.84449092
AT1G44575,-1.022243858,-0.394556643,-0.660023732,0.202509619,-0.483649048,2.142024581,-0.344351768,1.06276101,-0.502470162
AT1G44830,0.9600001,0.803176648,1.903656143,-0.832240831,-0.457052396,-0.910490689,-0.974202208,-0.18174544,-0.311101326
AT1G45249,1.106699559,0.379403492,0.705045041,1.636113549,-0.70059702,-0.335139816,-1.341892027,-0.687625438,-0.76200734
