"","hr0_1","hr2_1","hr0_2","hr2_2","hr0_3","hr2_3"
"AT1G01300",0.99092101308819,1.30786315707669,-1.22582679081155,-0.861303106164802,-0.248439164035333,0.0367848908468029
"AT1G01305",-0.408248290463863,-0.408248290463863,2.04124145231932,-0.408248290463863,-0.408248290463863,-0.408248290463863
"AT1G01310",-0.90759649106977,-1.15199100610501,0.659933191864563,0.956072290563623,1.05881453955132,-0.615232524804732
"AT1G01320",0.8121160760487,0.173530715215466,-1.64297201573001,-0.531190866186063,0.036338454238043,1.15217763641386
"AT1G01340",-0.986468614336939,-0.16647846718097,-0.416945737480048,1.2858167306228,-0.890349133219155,1.17442522159431
"AT1G01350",-0.661870176731512,-1.34189010361525,0.676662876786719,-0.0956533039821803,1.51203971156498,-0.0892890040227567
"AT1G01355",0.207652717643161,1.69878006408587,-0.518769305924615,0.377221427897083,-0.656389711733653,-1.10849519196784
"AT1G01360",-0.570388238255717,-0.586600071586557,0.618510248890935,0.631378950093113,1.28491126801302,-1.37781215715479
"AT1G01370",0.202580734410571,-1.26240042084481,-0.514396346059947,-0.311279829415063,1.7257741654505,0.159721696458743
"AT1G01380",1.70351699753968,-0.450511290097128,-0.494555112753465,-0.765018316369751,0.733081800400512,-0.72651407871985
"AT1G01390",1.20180524136027,1.12805796352795,-1.10843540190994,-0.98417789409187,-0.288581516100178,0.0513316072137709
"AT1G01400",-0.408248290463863,-0.408248290463863,2.04124145231931,-0.408248290463863,-0.408248290463863,-0.408248290463863
"AT1G01420",0.567623074255893,1.50091534181769,0.191380869575176,-0.543570676978608,-0.301382067088436,-1.41496654158172
"AT1G01430",-1.75323796631288,-0.33172276171592,-0.0118366680055316,1.11823343179837,0.281031157285249,0.697532806950706
"AT1G01440",-1.27104657600316,0.455729328431117,0.34942996484533,1.51098650639956,-0.858297779608195,-0.186801444064662
"AT1G01448",-0.929059504473093,-0.582132882167049,-0.556422467194103,1.82425231697394,-0.134106343165268,0.377468880025572
"AT1G01453",0.687744400244326,-1.00569920246286,1.36657181622348,-0.767190342981791,0.57338634844568,-0.854813019468833
"AT1G01460",-0.644756396580881,-0.644756396580881,1.21378212296647,1.36524346335706,-0.644756396580881,-0.644756396580881
"AT1G01470",0.661189823321525,1.25964872384803,0.120874016143282,-0.151513971050852,-0.186112886586227,-1.70408570567575
"AT1G01480",0.436833181834993,-0.82301318395553,1.60598575924755,-0.874341195116336,0.430795019163127,-0.776259581173807
"AT1G01490",-1.21666417737221,0.103395868148093,0.666718871038333,1.56231778789018,-0.533214907621552,-0.582553442082836
"AT1G01500",-0.272639315610376,1.84596854294428,-0.617385806107884,0.386208476274527,-0.462437669266666,-0.879714228233878
